rank0,bpm1,nrgy2,dnce3,dB4,live5,val6,dur7,acous8,spch9
1,150,63,34,7,7,35,241,16,4
2,135,43,70,11,10,56,194,33,38
3,192,62,53,7,29,59,204,5,12
4,147,61,33,11,77,40,214,32,3
5,160,81,51,5,21,69,230,0,5
6,96,65,83,3,9,93,234,58,8
7,108,48,74,12,36,95,263,19,3
8,135,98,55,3,8,31,239,0,15
9,150,94,57,3,34,79,202,6,7
10,97,79,51,2,14,48,325,0,3
11,154,71,40,3,12,42,340,13,3
12,138,92,54,3,12,34,295,7,6
13,100,69,52,4,17,62,246,0,3
14,140,83,68,3,12,96,199,34,3
15,112,77,64,6,12,60,343,16,3
16,78,65,36,3,16,34,314,5,4
17,96,67,63,4,11,29,290,29,2
18,118,82,77,5,24,90,183,2,10
19,107,67,59,2,11,53,327,26,3
20,135,96,51,4,20,61,249,0,8
21,152,63,50,5,10,31,307,45,3
22,93,97,42,1,53,50,223,1,6
23,152,43,38,7,21,18,353,68,3
24,90,80,63,3,6,72,232,9,4
25,108,71,57,2,31,63,305,18,3
26,150,67,52,6,9,46,329,55,3
27,100,85,67,5,9,79,235,3,3
28,93,92,53,2,64,66,212,1,6
29,185,89,31,2,28,75,270,0,5
30,76,60,43,4,22,36,270,21,3
31,79,45,52,6,18,34,308,19,3
32,126,88,60,3,5,90,214,0,6
33,174,69,38,5,34,29,296,3,5
34,106,75,55,3,9,41,307,5,3
35,92,87,54,3,14,37,327,5,3
36,93,90,61,3,29,75,275,67,11
37,105,85,44,4,9,64,238,3,4
38,130,80,54,4,40,56,299,4,4
39,164,58,55,6,11,49,281,2,3
40,156,64,53,6,39,44,224,52,4
41,158,92,55,3,35,65,305,0,7
42,155,93,47,3,28,62,257,0,5
43,105,90,65,3,5,70,202,38,8
44,80,85,47,3,33,49,262,4,5
45,154,87,61,5,28,63,256,1,4
46,170,78,50,4,19,45,237,11,3
47,162,83,34,3,7,42,297,10,5
48,101,77,75,5,77,73,208,14,4
49,115,92,50,4,34,70,189,7,11
50,116,78,40,5,23,63,223,0,4
1,98,59,82,6,15,51,209,69,9
2,91,32,76,7,8,57,189,84,5
3,117,60,62,6,46,46,164,5,15
4,120,76,70,3,9,55,215,19,4
5,150,63,34,7,7,35,241,16,4
6,120,23,70,14,11,24,245,90,10
7,127,43,78,9,9,24,159,12,4
8,124,79,79,5,10,68,183,1,8
9,102,34,51,9,21,9,206,58,4
10,110,41,50,6,11,45,182,75,3
11,130,56,78,7,40,68,185,13,8
12,171,80,51,4,9,35,202,0,6
13,135,43,70,11,10,56,194,33,38
14,192,62,53,7,29,59,204,5,12
15,84,57,51,7,34,22,240,35,20
16,111,68,48,5,8,35,202,15,9
17,90,63,65,5,11,43,168,15,3
18,67,47,59,9,51,90,126,61,5
19,127,46,62,6,14,50,184,56,3
20,162,56,66,9,8,85,183,50,5
21,150,65,55,4,10,16,175,46,8
22,120,42,75,8,7,81,131,64,4
23,202,60,24,8,12,78,152,77,4
24,105,49,72,6,9,38,171,2,3
25,96,46,73,7,19,40,213,37,3
26,128,61,66,5,22,35,154,56,10
27,117,55,76,6,8,75,191,4,3
28,96,45,75,9,17,34,233,4,9
29,145,41,32,9,14,27,195,85,4
30,90,52,76,4,7,93,158,53,6
31,110,27,57,7,9,6,240,84,3
32,205,60,45,7,9,42,221,43,6
33,105,52,81,5,13,55,166,38,4
34,99,77,68,4,10,57,207,2,5
35,120,86,65,5,19,80,230,9,10
36,95,82,55,4,34,56,174,12,5
37,93,65,64,8,8,55,198,12,19
38,94,18,80,12,62,61,182,61,6
39,108,48,74,12,36,95,263,19,3
40,93,22,33,11,34,36,207,88,3
41,100,51,53,8,10,35,210,13,3
42,151,43,61,9,9,74,122,86,4
43,112,57,46,5,9,18,215,60,6
44,90,38,65,8,39,41,210,91,4
45,140,67,66,2,9,41,211,19,4
46,103,47,69,7,10,25,190,9,4
47,150,73,83,7,10,87,253,53,29
48,136,23,58,12,10,32,256,81,3
49,87,50,85,12,15,68,211,66,31
50,179,16,28,12,11,20,252,89,3
1,117,60,62,6,46,46,164,5,15
2,120,76,70,3,9,55,215,19,4
3,150,63,34,7,7,35,241,16,4
4,127,43,78,9,9,24,159,12,4
5,192,62,53,7,29,59,204,5,12
6,180,63,47,6,13,43,189,7,34
