rank,title,artist,top genre,bpm,nrgy,dnce,dB,live,val,dur,acous,spch
1,Dance Monkey,Tones and I,australian pop,98,59,82,6,15,51,209,69,9
2,Circles,Post Malone,dfw rap,120,76,70,3,9,55,215,19,4
3,Memories,Maroon 5,pop,91,32,76,7,8,57,189,84,5
4,ROXANNE,Arizona Zervas,pop rap,117,60,62,6,46,46,164,5,15
5,All I Want for Christmas Is You,Mariah Carey,dance pop,150,63,34,7,7,35,241,16,4
6,Santa Tell Me,Ariana Grande,dance pop,192,62,53,7,29,59,204,5,12
7,Rockin' Around The Christmas Tree,Brenda Lee,adult standards,67,47,59,9,51,90,126,61,5
8,Jingle Bell Rock,Bobby Helms,adult standards,120,42,75,8,7,81,131,64,4
9,It's the Most Wonderful Time of the Year,Andy Williams,adult standards,202,60,24,8,12,78,152,77,4
10,Mistletoe,Justin Bieber,canadian pop,162,56,66,9,8,85,183,50,5
11,Happy Xmas (War Is Over) - Remastered,John Lennon,album rock,147,61,33,11,77,40,214,32,3
12,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,adult standards,142,26,65,13,36,84,155,90,6
13,Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,album rock,95,51,77,9,7,77,228,32,3
14,The Christmas Song (Merry Christmas To You),Nat King Cole,adult standards,79,21,32,15,14,21,192,92,3
15,White Christmas,Bing Crosby,adult standards,131,16,32,16,34,25,177,67,4
16,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,adult standards,134,24,45,14,18,70,117,91,4
17,Have Yourself A Merry Little Christmas,Sam Smith,pop,75,18,44,9,32,34,171,96,4
18,Seï¿½ï¿½,Shawn Mendes,canadian pop,117,55,76,6,8,75,191,4,3
19,Underneath the Tree,Kelly Clarkson,dance pop,160,81,51,5,21,69,230,0,5
20,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,adult standards,113,28,73,12,12,72,156,76,6
21,Christmas (Baby Please Come Home),Mariah Carey,dance pop,127,78,57,7,11,70,153,2,3
22,Jingle Bell Rock - Daryl's Version,Daryl Hall & John Oates,album rock,129,84,67,4,11,84,126,61,3
23,Do They Know It's Christmas? - 1984 Version,Band Aid,NA,115,64,60,7,10,35,223,16,4
24,Blue Christmas,Elvis Presley,adult standards,95,27,47,17,14,58,129,90,4
25,Santa Baby,Ariana Grande,dance pop,96,78,75,6,28,77,171,5,14
26,"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",Bruce Springsteen,heartland rock,140,67,36,8,73,41,268,36,5
27,Beautiful People (feat. Khalid),Ed Sheeran,pop,93,65,64,8,8,55,198,12,19
28,Last Christmas,Wham!,new wave pop,108,48,74,12,36,95,263,19,3
29,Feliz Navidad,Josï¿½ï¿½ï¿½ F,latin pop,149,86,49,7,35,96,182,53,4
30,Santa Claus Is Coming To Town,The Jackson 5,adult standards,147,76,69,5,18,96,144,42,3
31,It's Beginning to Look a Lot like Christmas,Michael Bublï,adult standards,93,22,33,11,34,36,207,88,3
32,A Holly Jolly Christmas - Single Version,Burl Ives,adult standards,140,37,67,13,10,86,133,59,3
33,Holly Jolly Christmas,Michael Bublï,adult standards,151,43,61,9,9,74,122,86,4
34,Christmas (Baby Please Come Home),Darlene Love,adult standards,126,76,34,7,8,36,166,39,5
35,I'll Be Home for Christmas,Michael Bublï,adult standards,82,11,25,14,16,15,268,94,3
36,Sleigh Ride,The Ronettes,adult standards,92,77,53,7,32,85,181,40,3
37,Santa Claus Is Coming to Town,Michael Bublï,adult standards,123,40,59,7,4,42,172,79,5
38,Merry Christmas Everyone,Shakin' Stevens,new wave pop,102,71,76,10,8,96,224,16,3
39,Tender Love (feat. DJ Maphorisa & Kabza De Small),Sha Sha,afro house,113,39,85,14,5,45,444,1,6
40,Labantwana Ama Uber,Semi Tee,amapiano,112,62,87,10,5,53,384,4,8
41,Nana Thula,Kabza De Small,afro house,114,52,77,14,4,59,439,0,5
42,Vula Vala,DJ Maphorisa,afro house,113,59,91,11,8,14,374,2,6
43,Umlilo,DJ Zinhle,kwaito,125,70,70,5,8,62,237,27,3
44,Jerusalem,Master KG,kwaito house,124,47,88,7,6,84,343,2,5
45,Lorch,Kabza De Small,afro house,113,68,91,10,7,41,375,17,6
46,Sukendleleni,Jobe London,afro house,112,72,88,6,5,24,415,5,5
47,Fire,DJ Big Sky,NA,114,56,65,7,5,64,463,2,21
48,Akulaleki,Samthing Soweto,afro house,116,67,90,9,6,34,382,14,9
49,Sandton,Kabza De Small,afro house,113,63,88,12,10,59,412,15,15
50,"Love You Tonight (feat. DJ Maphorisa, Sha Sha & Kabza De Small)",Mfr Souls,afro house,115,68,82,8,6,68,353,5,5
