rank,title,artist,top genre,bpm,nrgy,dnce,dB,live,val,dur,acous,spch
1,Dance Monkey,Tones and I,australian pop,98,59,82,6,15,51,209,69,9
2,RITMO (Bad Boys For Life),The Black Eyed Peas,dance pop,105,72,72,7,24,67,222,3,7
3,Tusa,KAROL G,latin,101,72,80,3,6,57,201,30,30
4,China,Anuel AA,latin,105,81,79,4,8,61,302,8,9
5,Vete,Bad Bunny,latin,92,67,89,4,10,53,192,4,19
6,Fantasias,Rauw Alejandro,latin,94,70,88,4,6,79,200,14,7
7,LA CANCIï¿,J Balvin,latin,176,65,75,6,11,43,243,15,32
8,Adicto (with Anuel AA & Ozuna),Tainy,pop reggaeton,80,84,73,5,18,62,271,2,7
9,Callaita,Bad Bunny,latin,176,62,61,5,24,24,251,60,31
10,Que Tire Pa Lante,Daddy Yankee,latin,94,90,66,3,12,71,211,5,4
11,Whine Up,Nicky Jam,latin,105,67,82,6,10,66,215,5,8
12,Tutu,Camilo,colombian pop,146,83,73,3,7,94,179,27,5
13,Quizas,Rich Music LTD,reggaeton,176,82,73,2,23,68,216,3,15
14,Si Te Vas,Sech,panamanian pop,174,64,73,4,14,55,205,9,13
15,Aventura,Lunay,latin,92,73,73,3,10,88,217,22,4
16,"Yo x Ti, Tu x Mi",ROSALï¿,r&b en espanol,92,76,78,3,14,58,201,46,23
17,Indeciso,Reik,latin,95,75,74,5,11,90,217,18,5
18,Hola - Remix,Dalex,latin,182,67,65,6,8,34,250,47,31
19,Seï¿½ï¿½,Shawn Mendes,canadian pop,117,55,76,6,8,75,191,4,3
20,"DJ No Pare (feat. Zion, Dalex, Lenny Tavï¿½ï¿½ï¿½rez)",Justin Quiles,latin,170,71,74,4,8,83,259,5,9
21,No Me Conoce - Remix,Jhay Cortez,latin,92,79,81,4,9,58,309,14,7
22,Con Altura,ROSALï¿,r&b en espanol,98,69,88,4,5,75,162,39,12
23,Otro Trago - Remix,Sech,panamanian pop,176,79,73,2,6,76,288,7,20
24,Con Calma,Daddy Yankee,latin,94,86,74,3,6,66,193,11,6
25,0.958333333,Maluma,latin,96,71,78,5,9,68,176,22,28
26,Bellaquita - Remix,Dalex,latin,166,72,80,4,18,76,305,14,8
27,Calma - Remix,Pedro Capï,latin,127,77,83,4,14,76,238,32,5
28,Blanco,J Balvin,latin,100,71,87,5,9,59,146,3,13
29,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)",Dimelo Flow,latin,88,65,75,3,11,48,233,11,7
30,Fresa,TINI,latin pop,96,87,78,3,10,86,166,22,9
31,Perreo en La Luna,Rich Music LTD,reggaeton,174,76,71,4,37,72,219,27,29
32,Sigues Con El,Dimelo Flow,latin,88,67,88,3,7,68,227,11,11
33,Oye,TINI,latin pop,95,51,68,8,18,26,173,45,6
34,Soltera - Remix,Lunay,latin,92,78,80,4,44,80,266,36,4
35,Tal Vez,Paulo Londra,argentine hip hop,162,65,86,2,8,74,264,25,15
36,22,TINI,latin pop,176,64,70,5,9,81,159,1,9
37,Ya No Mas,Fer Palacio,NA,100,68,80,6,7,88,158,14,6
38,Goteo,Duki,argentine hip hop,108,78,47,4,19,44,164,19,4
39,CANGURO,WOS,argentine indie,164,75,60,4,67,93,197,17,33
40,C90 - Remix,John C,argentine hip hop,123,76,87,5,7,61,316,34,9
41,Cï¿½ï¿½ï¿½,Ke Personajes,cumbia pop,135,86,59,2,4,98,227,29,6
42,Me Vas a Extraï¿½ï¿½ï¿½ar -,Damas Gratis,cumbia villera,88,81,42,5,70,64,239,32,4
43,No Te Creas Tan Importante - En Vivo,Damas Gratis,cumbia villera,175,76,30,5,88,67,240,20,4
44,Soy Sabalero,Los Palmeras,argentine rock,132,85,78,5,8,85,180,8,6
45,No Dijeron Nada,Oscu,trap argentino,115,71,70,5,51,91,187,8,5
46,Una Cerveza,Rafaga,cumbia chilena,98,91,75,2,9,76,241,32,5
47,Olvï¿½ï¿,Los Palmeras,argentine rock,132,69,77,5,27,52,290,31,5
48,Ocho Cuarenta,Rodrigo,argentine rock,148,70,61,10,30,85,355,8,3
49,El Bombï¿,Los Palmeras,argentine rock,164,77,74,5,8,87,204,20,6
50,La Cola,Los Palmeras,argentine rock,93,79,78,5,12,87,169,36,6
