rank,title,artist,top genre,bpm,nrgy,dnce,dB,live,val,dur,acous,spch
1,Dance Monkey,Tones and I,australian pop,98,59,82,6,15,51,209,69,9
2,ROXANNE,Arizona Zervas,pop rap,117,60,62,6,46,46,164,5,15
3,Circles,Post Malone,dfw rap,120,76,70,3,9,55,215,19,4
4,Memories,Maroon 5,pop,91,32,76,7,8,57,189,84,5
5,All I Want for Christmas Is You,Mariah Carey,dance pop,150,63,34,7,7,35,241,16,4
6,Don't Start Now,Dua Lipa,dance pop,124,79,79,5,10,68,183,1,8
7,Falling,Trevor Daniel,alternative r&b,127,43,78,9,9,24,159,12,4
8,Santa Tell Me,Ariana Grande,dance pop,192,62,53,7,29,59,204,5,12
9,Ride It,Regard,pop edm,118,75,88,4,11,88,158,18,9
10,Rockin' Around The Christmas Tree,Brenda Lee,adult standards,67,47,59,9,51,90,126,61,5
11,Happy Xmas (War Is Over) - Remastered,John Lennon,album rock,147,61,33,11,77,40,214,32,3
12,It's the Most Wonderful Time of the Year,Andy Williams,adult standards,202,60,24,8,12,78,152,77,4
13,Mistletoe,Justin Bieber,canadian pop,162,56,66,9,8,85,183,50,5
14,Jingle Bell Rock,Bobby Helms,adult standards,120,42,75,8,7,81,131,64,4
15,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,adult standards,142,26,65,13,36,84,155,90,6
16,White Christmas,Bing Crosby,adult standards,131,16,32,16,34,25,177,67,4
17,The Christmas Song (Merry Christmas To You),Nat King Cole,adult standards,79,21,32,15,14,21,192,92,3
18,Have Yourself A Merry Little Christmas,Sam Smith,pop,75,18,44,9,32,34,171,96,4
19,Jingle Bell Rock - Daryl's Version,Daryl Hall & John Oates,album rock,129,84,67,4,11,84,126,61,3
20,Underneath the Tree,Kelly Clarkson,dance pop,160,81,51,5,21,69,230,0,5
21,Do They Know It's Christmas? - 1984 Version,Band Aid,NA,115,64,60,7,10,35,223,16,4
22,Step Into Christmas,Elton John,glam rock,140,93,53,6,31,82,272,10,4
23,Run Rudolph Run - Single Version,Chuck Berry,blues rock,152,72,68,11,8,96,166,81,9
24,Christmas Lights,Coldplay,permanent wave,131,42,31,9,8,24,242,13,3
25,Blue Christmas,Elvis Presley,adult standards,95,27,47,17,14,58,129,90,4
26,Adore You,Harry Styles,dance pop,99,77,68,4,10,57,207,2,5
27,Fairytale of New York (feat. Kirsty MacColl),The Pogues,celtic punk,119,65,32,6,24,47,272,50,3
28,Last Christmas,Wham!,new wave pop,108,48,74,12,36,95,263,19,3
29,Santa Claus Is Coming To Town,The Jackson 5,adult standards,147,76,69,5,18,96,144,42,3
30,Winter Wonderland,Tony Bennett,adult standards,115,37,45,14,8,63,134,83,4
31,It's Beginning to Look a Lot like Christmas,Michael Bublï,adult standards,93,22,33,11,34,36,207,88,3
32,Driving Home for Christmas - 2019 Remaster,Chris Rea,album rock,180,58,51,11,18,87,242,36,4
33,A Holly Jolly Christmas - Single Version,Burl Ives,adult standards,140,37,67,13,10,86,133,59,3
34,Little Saint Nick - 1991 Remix,The Beach Boys,baroque pop,131,55,60,9,5,97,119,11,3
35,Holly Jolly Christmas,Michael Bublï,adult standards,151,43,61,9,9,74,122,86,4
36,Baby It's Cold Outside (duet with Michael Bublï¿,Idina Menzel,hollywood,113,48,55,9,28,56,166,65,6
37,Never Seen The Rain,Tones and I,australian pop,92,46,67,6,28,27,201,43,4
38,What Christmas Means To Me,Stevie Wonder,adult standards,167,54,48,10,8,82,147,24,4
39,Thank God It's Christmas - Non-Album Single,Queen,glam rock,83,42,30,9,23,34,262,21,3
40,Rockin' Around the Christmas Tree,Brenda Lee,adult standards,141,64,68,9,22,83,126,57,4
41,2000 Miles - 2007 Remaster,Pretenders,album rock,66,71,22,9,10,45,220,0,4
42,Sleigh Ride,The Ronettes,adult standards,92,77,53,7,32,85,181,40,3
43,Jingle Bells (feat. The Puppini Sisters),Michael Bublï,adult standards,123,58,71,6,14,83,162,70,6
44,Mary's Boy Child / Oh My Lord,Boney M.,disco,113,72,78,9,20,93,241,28,4
45,Santa Claus Is Coming to Town,Michael Bublï,adult standards,123,40,59,7,4,42,172,79,5
46,White Christmas (with Shania Twain),Michael Bublï,adult standards,127,49,61,7,13,64,218,44,4
47,Have Yourself A Merry Little Christmas,Ella Fitzgerald,adult standards,112,25,61,9,22,48,176,96,4
48,Merry Christmas Everyone,Shakin' Stevens,new wave pop,102,71,76,10,8,96,224,16,3
49,8 Days of Christmas,Destiny's Child,dance pop,100,84,69,1,6,64,210,5,19
50,How to Make Gravy,Paul Kelly,australian alternative rock,95,72,40,7,25,39,269,6,4
