rank,title,artist,top genre,bpm,nrgy,dnce,dB,live,val,dur,acous,spch
1,Dance Monkey,Tones and I,australian pop,98,59,82,6,15,51,209,69,9
2,All I Want for Christmas Is You,Mariah Carey,dance pop,150,63,34,7,7,35,241,16,4
3,RITMO (Bad Boys For Life),The Black Eyed Peas,dance pop,105,72,72,7,24,67,222,3,7
4,Tusa,KAROL G,latin,101,72,80,3,6,57,201,30,30
5,Vete,Bad Bunny,latin,92,67,89,4,10,53,192,4,19
6,China,Anuel AA,latin,105,81,79,4,8,61,302,8,9
7,Fantasias,Rauw Alejandro,latin,94,70,88,4,6,79,200,14,7
8,LA CANCIï¿,J Balvin,latin,176,65,75,6,11,43,243,15,32
9,Callaita,Bad Bunny,latin,176,62,61,5,24,24,251,60,31
10,Adicto (with Anuel AA & Ozuna),Tainy,pop reggaeton,80,84,73,5,18,62,271,2,7
11,Jingle Bell Rock,Bobby Helms,adult standards,120,42,75,8,7,81,131,64,4
12,Whine Up,Nicky Jam,latin,105,67,82,6,10,66,215,5,8
13,Que Tire Pa Lante,Daddy Yankee,latin,94,90,66,3,12,71,211,5,4
14,Tutu,Camilo,colombian pop,146,83,73,3,7,94,179,27,5
15,Si Te Vas,Sech,panamanian pop,174,64,73,4,14,55,205,9,13
16,Indeciso,Reik,latin,95,75,74,5,11,90,217,18,5
17,Quizas,Rich Music LTD,reggaeton,176,82,73,2,23,68,216,3,15
18,Aventura,Lunay,latin,92,73,73,3,10,88,217,22,4
19,"Yo x Ti, Tu x Mi",ROSALï¿,r&b en espanol,92,76,78,3,14,58,201,46,23
20,Hola - Remix,Dalex,latin,182,67,65,6,8,34,250,47,31
21,Seï¿½ï¿½,Shawn Mendes,canadian pop,117,55,76,6,8,75,191,4,3
22,No Me Conoce - Remix,Jhay Cortez,latin,92,79,81,4,9,58,309,14,7
23,0.958333333,Maluma,latin,96,71,78,5,9,68,176,22,28
24,QUE PRETENDES,J Balvin,latin,93,79,64,4,36,94,222,3,25
25,"DJ No Pare (feat. Zion, Dalex, Lenny Tavï¿½ï¿½ï¿½rez)",Justin Quiles,latin,170,71,74,4,8,83,259,5,9
26,Con Altura,ROSALï¿,r&b en espanol,98,69,88,4,5,75,162,39,12
27,Otro Trago - Remix,Sech,panamanian pop,176,79,73,2,6,76,288,7,20
28,Pa' Olvidarme De Ella,Piso 21,colombian pop,90,54,73,5,14,64,227,26,5
29,Bellaquita - Remix,Dalex,latin,166,72,80,4,18,76,305,14,8
30,Quï¿½ï¿½,Maluma,latin,126,66,64,6,34,86,213,10,36
31,Blanco,J Balvin,latin,100,71,87,5,9,59,146,3,13
32,Pa Mï¿½ï¿½ï¿½,Dalex,latin,170,62,69,8,16,73,361,75,22
33,Otro Trago,Sech,panamanian pop,176,70,75,5,11,62,226,14,34
34,Te Vi,Piso 21,colombian pop,102,78,88,4,9,71,232,4,12
35,Feliz Navidad,Josï¿½ï¿½ï¿½ F,latin pop,149,86,49,7,35,96,182,53,4
36,Last Christmas,Wham!,new wave pop,108,48,74,12,36,95,263,19,3
37,Que Mas Pues - Remix,Sech,panamanian pop,113,66,65,5,12,81,306,12,20
38,Bellaquita,Dalex,latin,166,70,58,4,17,77,205,9,11
39,Sigues Con El,Dimelo Flow,latin,88,67,88,3,7,68,227,11,11
40,Atrï¿½ï¿,Nicky Jam,latin,184,68,55,4,12,59,198,31,30
41,Loco,Beï¿½,NA,105,56,82,6,5,77,204,16,17
42,Amor a Primera Vista,Los Angeles Azules,grupera,170,76,66,6,41,95,221,32,6
43,Una Vida Para Recordar,Piso 21,colombian pop,182,78,70,3,12,48,215,7,20
44,Soltera - Remix,Lunay,latin,92,78,80,4,44,80,266,36,4
45,Tal Vez,Paulo Londra,argentine hip hop,162,65,86,2,8,74,264,25,15
46,Desconocidos,Mau y Ricky,latin,174,75,72,5,21,68,205,12,18
47,Nunca Es Suficiente,Los Angeles Azules,grupera,94,50,80,6,9,80,266,39,4
48,Detente,Mike Bahï¿,colombian pop,172,59,74,5,11,36,182,27,35
49,Adan y Eva,Paulo Londra,argentine hip hop,172,71,77,4,7,72,257,32,34
50,La Difï¿½ï,Camilo,colombian pop,65,36,68,7,16,55,159,67,11
