,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,country
351,Dance Monkey,Tones and I,australian pop,2019,31/12/1969,98,59,82,-6,15,51,209,69,9,100,canada
352,ROXANNE,Arizona Zervas,pop rap,2019,31/12/1969,117,60,62,-6,46,46,164,5,15,99,canada
353,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,31/12/1969,150,63,34,-7,7,35,241,16,4,98,canada
354,Santa Tell Me,Ariana Grande,dance pop,2014,31/12/1969,192,62,53,-7,29,59,204,5,12,95,canada
355,Rockin' Around The Christmas Tree,Brenda Lee,adult standards,1964,31/12/1969,67,47,59,-9,51,90,126,61,5,93,canada
356,It's the Most Wonderful Time of the Year,Andy Williams,adult standards,1963,31/12/1969,202,60,24,-8,12,78,152,77,4,92,canada
357,Jingle Bell Rock,Bobby Helms,adult standards,1992,31/12/1969,120,42,75,-8,7,81,131,64,4,92,canada
358,Happy Xmas (War Is Over) - Remastered,John Lennon,album rock,2010,31/12/1969,147,61,33,-11,77,40,214,32,3,92,canada
359,Mistletoe,Justin Bieber,canadian pop,2011,31/12/1969,162,56,66,-9,8,85,183,50,5,92,canada
360,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,adult standards,1994,31/12/1969,142,26,65,-13,36,84,155,90,6,91,canada
361,Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,album rock,1980,31/12/1969,95,51,77,-9,7,77,228,32,3,91,canada
362,The Christmas Song (Merry Christmas To You),Nat King Cole,adult standards,1962,31/12/1969,79,21,32,-15,14,21,192,92,3,89,canada
363,White Christmas,Bing Crosby,adult standards,1942,31/12/1969,131,16,32,-16,34,25,177,67,4,89,canada
364,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,adult standards,1959,31/12/1969,134,24,45,-14,18,70,117,91,4,89,canada
365,Have Yourself A Merry Little Christmas,Sam Smith,pop,2014,31/12/1969,75,18,44,-9,32,34,171,96,4,89,canada
366,The Box,Roddy Ricch,melodic rap,2019,31/12/1969,117,59,90,-7,79,64,197,10,6,89,canada
367,Underneath the Tree,Kelly Clarkson,dance pop,2013,31/12/1969,160,81,51,-5,21,69,230,0,5,88,canada
368,Jingle Bell Rock - Daryl's Version,Daryl Hall & John Oates,album rock,1983,31/12/1969,129,84,67,-4,11,84,126,61,3,88,canada
369,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,adult standards,1999,31/12/1969,113,28,73,-12,12,72,156,76,6,88,canada
370,Christmas (Baby Please Come Home),Mariah Carey,dance pop,1994,31/12/1969,127,78,57,-7,11,70,153,2,3,88,canada
371,Do They Know It's Christmas? - 1984 Version,Band Aid,NA,2004,31/12/1969,115,64,60,-7,10,35,223,16,4,87,canada
372,Blue Christmas,Elvis Presley,adult standards,1957,31/12/1969,95,27,47,-17,14,58,129,90,4,87,canada
373,Run Rudolph Run - Single Version,Chuck Berry,blues rock,1986,31/12/1969,152,72,68,-11,8,96,166,81,9,87,canada
374,Santa Baby,Ariana Grande,dance pop,2013,31/12/1969,96,78,75,-6,28,77,171,5,14,87,canada
375,Like It's Christmas,Jonas Brothers,boy band,2019,31/12/1969,146,57,73,-6,5,61,201,2,10,87,canada
376,Step Into Christmas,Elton John,glam rock,1973,31/12/1969,140,93,53,-6,31,82,272,10,4,87,canada
377,Christmas Lights,Coldplay,permanent wave,2010,31/12/1969,131,42,31,-9,8,24,242,13,3,87,canada
378,Fairytale of New York (feat. Kirsty MacColl),The Pogues,celtic punk,1988,31/12/1969,119,65,32,-6,24,47,272,50,3,86,canada
379,"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",Bruce Springsteen,heartland rock,1981,31/12/1969,140,67,36,-8,73,41,268,36,5,86,canada
380,Last Christmas,Wham!,new wave pop,1984,31/12/1969,108,48,74,-12,36,95,263,19,3,85,canada
381,Feliz Navidad,José Feliciano,latin pop,2001,31/12/1969,149,86,49,-7,35,96,182,53,4,85,canada
382,Santa Claus Is Coming To Town,The Jackson 5,adult standards,1970,31/12/1969,147,76,69,-5,18,96,144,42,3,85,canada
383,Winter Wonderland,Tony Bennett,adult standards,1968,31/12/1969,115,37,45,-14,8,63,134,83,4,85,canada
384,"Baby, It's Cold Outside",Brett Eldredge,contemporary country,2016,31/12/1969,114,57,58,-5,27,68,174,74,4,85,canada
385,It's Beginning to Look a Lot like Christmas,Michael Bublé,adult standards,2011,31/12/1969,93,22,33,-11,34,36,207,88,3,84,canada
