rank,title,artist,top genre,bpm,nrgy,dnce,dB,live,val,dur,acous,spch
1,Dance Monkey,Tones and I,australian pop,98,59,82,-6,15,51,209,69,9
2,All I Want for Christmas Is You,Mariah Carey,dance pop,150,63,34,-7,7,35,241,16,4
3,RITMO (Bad Boys For Life),The Black Eyed Peas,dance pop,105,72,72,-7,24,67,222,3,7
4,Tusa,KAROL G,latin,101,72,80,-3,6,57,201,30,30
5,Vete,Bad Bunny,latin,92,67,89,-4,10,53,192,4,19
6,China,Anuel AA,latin,105,81,79,-4,8,61,302,8,9
7,Fantasias,Rauw Alejandro,latin,94,70,88,-4,6,79,200,14,7
8,LA CANCIï¿,J Balvin,latin,176,65,75,-6,11,43,243,15,32
9,Adicto (with Anuel AA & Ozuna),Tainy,pop reggaeton,80,84,73,-5,18,62,271,2,7
10,Callaita,Bad Bunny,latin,176,62,61,-5,24,24,251,60,31
11,Jingle Bell Rock,Bobby Helms,adult standards,120,42,75,-8,7,81,131,64,4
12,Whine Up,Nicky Jam,latin,105,67,82,-6,10,66,215,5,8
13,Que Tire Pa Lante,Daddy Yankee,latin,94,90,66,-3,12,71,211,5,4
14,Aventura,Lunay,latin,92,73,73,-3,10,88,217,22,4
15,Quizas,Rich Music LTD,reggaeton,176,82,73,-2,23,68,216,3,15
16,Si Te Vas,Sech,panamanian pop,174,64,73,-4,14,55,205,9,13
17,Tutu,Camilo,colombian pop,146,83,73,-3,7,94,179,27,5
18,"Yo x Ti, Tu x Mi",ROSALï¿,r&b en espanol,92,76,78,-3,14,58,201,46,23
19,Hola - Remix,Dalex,latin,182,67,65,-6,8,34,250,47,31
20,No Me Conoce - Remix,Jhay Cortez,latin,92,79,81,-4,9,58,309,14,7
21,"DJ No Pare (feat. Zion, Dalex, Lenny Tavï¿½ï¿½ï¿½rez)",Justin Quiles,latin,170,71,74,-4,8,83,259,5,9
22,Otro Trago - Remix,Sech,panamanian pop,176,79,73,-2,6,76,288,7,20
23,QUE PRETENDES,J Balvin,latin,93,79,64,-4,36,94,222,3,25
24,Bellaquita - Remix,Dalex,latin,166,72,80,-4,18,76,305,14,8
25,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)",Dimelo Flow,latin,88,65,75,-3,11,48,233,11,7
26,Si Se Da - Remix,Myke Towers,latin,94,67,82,-6,13,77,332,44,30
27,Cuerpo en Venta,Noriel,latin,92,60,70,-6,10,41,254,16,30
28,Feliz Navidad,Josï¿½ï¿½ï¿½ F,latin pop,149,86,49,-7,35,96,182,53,4
29,Verte Ir,DJ Luian,latin,96,65,86,-4,8,55,268,39,10
30,Fantasï¿,Ozuna,latin,180,72,70,-6,9,78,175,23,9
31,It's Beginning to Look a Lot like Christmas,Michael Bublï,adult standards,93,22,33,-11,34,36,207,88,3
32,Sigues Con El,Dimelo Flow,latin,88,67,88,-3,7,68,227,11,11
33,105 F Remix,KEVVO,perreo,100,75,90,-7,29,74,464,37,16
34,B11 (feat. Myke Towers),Rvssian,latin,100,72,76,-5,13,20,252,7,12
35,Perreo en La Luna,Rich Music LTD,reggaeton,174,76,71,-4,37,72,219,27,29
36,Holly Jolly Christmas,Michael Bublï,adult standards,151,43,61,-9,9,74,122,86,4
37,Piensan,Myke Towers,latin,172,72,68,-4,11,79,173,54,6
38,No Te Debï¿½ï¿½ï,C. Tangana,trap espanol,75,68,67,-6,18,62,183,13,32
39,Si Supieras,Daddy Yankee,latin,184,89,69,-2,10,62,242,29,12
40,Coronao Now,El Alfa,dembow,118,73,94,-8,18,72,218,15,25
41,Soltera - Remix,Lunay,latin,92,78,80,-4,44,80,266,36,4
42,Imaginaste - Remix,Jhay Cortez,latin,90,71,85,-5,34,60,247,4,9
43,Piropo,Noriel,latin,94,75,87,-6,4,77,220,12,7
44,Infeliz,Arcangel,latin,176,80,71,-3,25,72,221,37,22
45,La Cama,Lunay,latin,174,90,70,-3,18,82,189,20,6
46,Mami,Paloma Mami,latin pop,95,72,80,-6,17,51,195,15,5
47,Santa Claus Llegï¿½ï¿½ï¿½ a L,Luis Miguel,bolero,170,85,52,-2,33,72,116,38,19
48,"Navidad, Navidad",Luis Miguel,bolero,173,84,52,-4,16,75,155,36,15
49,Algï¿½ï¿½ï¿½n Dï¿½,Santaferia,cumbia chilena,94,71,65,-4,5,69,254,37,3
50,Blanca Navidad,Luis Miguel,bolero,90,40,36,-11,7,18,212,73,3
