rank,title,artist,top genre,bpm,nrgy,dnce,dB,live,val,dur,acous,spch
1,Dance Monkey,Tones and I,australian pop,98,59,82,6,15,51,209,69,9
2,RITMO (Bad Boys For Life),The Black Eyed Peas,dance pop,105,72,72,7,24,67,222,3,7
3,Tusa,KAROL G,latin,101,72,80,3,6,57,201,30,30
4,China,Anuel AA,latin,105,81,79,4,8,61,302,8,9
5,Vete,Bad Bunny,latin,92,67,89,4,10,53,192,4,19
6,Fantasias,Rauw Alejandro,latin,94,70,88,4,6,79,200,14,7
7,LA CANCIï¿,J Balvin,latin,176,65,75,6,11,43,243,15,32
8,Callaita,Bad Bunny,latin,176,62,61,5,24,24,251,60,31
9,Adicto (with Anuel AA & Ozuna),Tainy,pop reggaeton,80,84,73,5,18,62,271,2,7
10,Whine Up,Nicky Jam,latin,105,67,82,6,10,66,215,5,8
11,Que Tire Pa Lante,Daddy Yankee,latin,94,90,66,3,12,71,211,5,4
12,Quizas,Rich Music LTD,reggaeton,176,82,73,2,23,68,216,3,15
13,Indeciso,Reik,latin,95,75,74,5,11,90,217,18,5
14,Tutu,Camilo,colombian pop,146,83,73,3,7,94,179,27,5
15,Si Te Vas,Sech,panamanian pop,174,64,73,4,14,55,205,9,13
16,Aventura,Lunay,latin,92,73,73,3,10,88,217,22,4
17,Hola - Remix,Dalex,latin,182,67,65,6,8,34,250,47,31
18,Seï¿½ï¿½,Shawn Mendes,canadian pop,117,55,76,6,8,75,191,4,3
19,No Me Conoce - Remix,Jhay Cortez,latin,92,79,81,4,9,58,309,14,7
20,QUE PRETENDES,J Balvin,latin,93,79,64,4,36,94,222,3,25
21,Con Altura,ROSALï¿,r&b en espanol,98,69,88,4,5,75,162,39,12
22,0.958333333,Maluma,latin,96,71,78,5,9,68,176,22,28
23,Blanco,J Balvin,latin,100,71,87,5,9,59,146,3,13
24,Quï¿½ï¿½,Maluma,latin,126,66,64,6,34,86,213,10,36
25,Pa' Olvidarme De Ella,Piso 21,colombian pop,90,54,73,5,14,64,227,26,5
26,Bellaquita - Remix,Dalex,latin,166,72,80,4,18,76,305,14,8
27,Sigues Con El,Dimelo Flow,latin,88,67,88,3,7,68,227,11,11
28,Loco,Beï¿½,NA,105,56,82,6,5,77,204,16,17
29,Soltera - Remix,Lunay,latin,92,78,80,4,44,80,266,36,4
30,Alguien Me Gusta,Andy Rivera,latin,93,52,67,4,37,81,169,45,4
31,Dulce Pecado,Jessi Uribe,colombian pop,176,51,64,4,13,77,175,61,5
32,En Barranquilla Me Quedo,Joe Arroyo,cumbia,104,79,62,6,9,75,312,18,5
33,Los sabanales,Calixto Ochoa,cumbia,124,70,80,6,3,78,162,10,4
34,Traicionera,Pastor Lopez,cumbia,130,59,78,5,19,96,215,53,4
35,La Noche,Joe Arroyo,cumbia,106,68,73,5,6,83,264,25,4
36,Adonay,Rodolfo Aicardi,classic colombian pop,118,66,76,6,6,97,187,67,5
37,El Hijo Ausente,Pastor Lopez,cumbia,107,73,76,6,13,85,173,63,6
38,Tabaco y Ron,Rodolfo Aicardi,classic colombian pop,103,77,76,7,11,96,243,18,4
39,Aventurero,Yeison Jimenez,colombian pop,93,63,85,4,13,90,190,51,3
40,Loquito por Ti,Armando Hernandez,chicha,107,76,79,4,5,86,287,41,12
41,Las Cuatro Fiestas,Diomedes Diaz,cumbia,131,92,51,5,15,97,275,16,26
42,Cariï¿½ï,Rodolfo Aicardi,classic colombian pop,106,57,68,6,8,95,227,82,3
43,Golpe Con Golpe,Pastor Lopez,cumbia,102,62,75,7,6,97,214,60,6
44,Ojitos Hechiceros,Rodolfo Aicardi,classic colombian pop,107,69,79,7,14,62,220,11,4
45,La Burrita,Los Corraleros De Majagual,cumbia,127,63,86,5,8,95,157,46,10
46,Daniela,Rodolfo Aicardi,classic colombian pop,142,56,62,7,18,93,198,52,3
47,Vï¿½ï¿½ï¿½spera de A,Guillermo Buitrago,classic colombian pop,100,83,60,6,8,98,150,85,13
48,El Jornalero (El Hijo de Tuta),Lisandro Meza,cumbia,95,72,85,5,16,96,244,7,6
49,Las Caleï¿½,Pastor Lopez Y Su Combo,cumbia,204,74,55,7,8,94,212,34,10
50,Sorbito De Champagne - Digitally Remastered Original,Pastor Lopez,cumbia,112,79,79,4,4,70,211,64,4
