rank,title,artist,top genre,bpm,nrgy,dnce,dB,live,val,dur,acous,spch
1,Dance Monkey,Tones and I,australian pop,98,59,82,6,15,51,209,69,9
2,ROXANNE,Arizona Zervas,pop rap,117,60,62,6,46,46,164,5,15
3,Memories,Maroon 5,pop,91,32,76,7,8,57,189,84,5
4,All I Want for Christmas Is You,Mariah Carey,dance pop,150,63,34,7,7,35,241,16,4
5,RITMO (Bad Boys For Life),The Black Eyed Peas,dance pop,105,72,72,7,24,67,222,3,7
6,Don't Start Now,Dua Lipa,dance pop,124,79,79,5,10,68,183,1,8
7,Blinding Lights,The Weeknd,canadian contemporary r&b,171,80,51,4,9,35,202,0,6
8,Ride It,Regard,pop edm,118,75,88,4,11,88,158,18,9
9,Trampoline (with ZAYN),SHAED,electropop,127,46,62,6,14,50,184,56,3
10,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,adult standards,134,24,45,14,18,70,117,91,4
11,Seï¿½ï¿½,Shawn Mendes,canadian pop,117,55,76,6,8,75,191,4,3
12,Last Christmas,Wham!,new wave pop,108,48,74,12,36,95,263,19,3
13,Que Calor (feat. J Balvin & El Alfa),Major Lazer,dance pop,126,89,80,4,29,46,170,4,7
14,Roses - Imanbek Remix,SAINt JHN,melodic rap,122,72,77,5,35,90,177,2,5
15,Popopop,Gambi,pop urbaine,130,65,83,6,14,41,156,5,31
16,Holly Jolly Christmas,Michael Bublï,adult standards,151,43,61,9,9,74,122,86,4
17,Moulaga,Heuss L'enfoirï,french hip hop,125,70,71,5,10,48,180,33,10
18,Oui ou non,Angï¿½,belgian pop,200,57,65,8,16,36,197,64,14
19,Hï¿½ï,Gambi,pop urbaine,105,59,83,5,20,54,178,7,15
20,Ne reviens pas,Gradur,french hip hop,125,78,93,3,17,93,189,21,6
21,0.4,Aya Nakamura,basshall,92,69,84,7,13,68,175,40,21
22,Woin Woin feat. RK,Larry,french hip hop,130,64,90,7,8,70,173,17,29
23,Loin de moi,Naza,francoton,97,46,89,8,6,50,144,64,24
24,Mayday (feat. Ninho),SCH,french hip hop,152,60,61,8,9,25,210,61,36
25,Baianï,Bakermat,deep euro house,122,76,50,7,33,49,182,0,5
26,La vie qu'on mï¿½,Ninho,french hip hop,113,76,80,4,11,46,193,69,4
27,Bï¿½ï¿½ï,Niska,french hip hop,168,70,66,7,7,65,211,29,14
28,Un peu de haine,PLK,french hip hop,134,66,77,7,22,42,168,44,6
29,Ma belle,Moha La Squale,french hip hop,82,66,74,6,9,47,158,76,6
30,Jamais,Mister V,french hip hop,150,67,64,7,11,79,192,43,9
31,Dans l'univers,Nekfeu,french hip hop,132,42,64,10,14,20,244,33,17
32,Maman ne le sait pas (feat. Niska),Ninho,french hip hop,145,88,76,6,12,39,203,40,19
33,Street,Maes,french hip hop,148,30,66,20,21,49,185,30,8
34,Aristocrate,Heuss L'enfoirï,french hip hop,117,61,94,6,10,63,170,27,7
35,Mï¿½ï¿½,Niska,french hip hop,98,80,53,4,37,41,191,33,34
36,Marie,Koba LaD,french hip hop,132,75,78,6,12,68,195,12,4
37,93% [Tijuana],GLK,francoton,136,69,80,5,18,80,223,62,6
38,Distant,Maes,french hip hop,105,73,75,6,7,49,162,56,19
39,Avant toi,Vitaa,francoton,142,40,63,9,10,25,224,88,3
40,Elle est bonne sa mï¿½,Vegedream,francoton,105,74,79,5,34,47,197,33,6
41,Compliquï,Dadju,francoton,75,74,70,7,16,93,215,55,5
42,Ma vie,Dadju,francoton,201,50,51,8,16,32,209,12,8
43,Mortel,Koba LaD,french hip hop,154,69,58,6,10,66,204,15,46
44,Un million par mois,Djadja & Dinaz,french hip hop,135,54,76,6,13,72,189,66,5
45,Block,Larry,french hip hop,77,74,72,7,41,71,157,29,28
46,Petit Papa Noï¿,Tino Rossi,chanson,105,31,33,9,6,42,196,99,3
47,Cï¿½ï¿½ï¿½,47ter,french hip hop,152,59,77,8,18,58,233,50,9
48,God Bless (feat. Damso),Hamza,belgian hip hop,83,57,86,10,6,23,162,1,12
49,Reste,Maï¿½ï¿½ï¿½,french hip hop,100,54,75,7,10,69,232,48,4
50,Gasolina (feat. Gambi),Hamza,belgian hip hop,130,61,95,8,12,72,179,28,19
