rank,title,artist,top genre,bpm,nrgy,dnce,dB,live,val,dur,acous,spch
1,Memories,Maroon 5,pop,91,32,76,7,8,57,189,84,5
2,ROXANNE,Arizona Zervas,pop rap,117,60,62,6,46,46,164,5,15
3,Circles,Post Malone,dfw rap,120,76,70,3,9,55,215,19,4
4,Falling,Trevor Daniel,alternative r&b,127,43,78,9,9,24,159,12,4
5,Blinding Lights,The Weeknd,canadian contemporary r&b,171,80,51,4,9,35,202,0,6
6,bad guy,Billie Eilish,electropop,135,43,70,11,10,56,194,33,38
7,hot girl bummer,blackbear,pop,130,56,78,7,40,68,185,13,8
8,Heartless,The Weeknd,canadian contemporary r&b,170,75,53,6,12,20,200,1,11
9,Trampoline (with ZAYN),SHAED,electropop,127,46,62,6,14,50,184,56,3
10,My Oh My (feat. DaBaby),Camila Cabello,dance pop,105,49,72,6,9,38,171,2,3
11,Se��,Shawn Mendes,canadian pop,117,55,76,6,8,75,191,4,3
12,Believer,Imagine Dragons,modern rock,125,78,78,4,8,67,204,6,13
13,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,dfw rap,90,52,76,4,7,93,158,53,6
14,On My Way,Alan Walker,electro house,170,69,51,5,30,30,194,2,10
15,"Ghungroo (From ""War"")",Arijit Singh,desi pop,118,73,70,6,53,86,303,7,3
16,"Tum Hi Aana (From ""Marjaavaan"")",Payal Dev,modern bollywood,90,40,47,7,15,35,249,63,2
17,Filhall,B Praak,desi pop,80,66,53,4,13,59,255,61,6
18,Makhna,Tanishk Bagchi,desi pop,125,70,70,8,16,43,183,17,4
19,Yaad Piya Ki Aane Lagi,Neha Kakkar,desi pop,108,83,86,4,11,69,257,38,5
20,"Duniyaa (From ""Luka Chuppi"")",Akhil,desi pop,77,66,44,6,13,52,223,70,4
21,"Pachtaoge (From ""Jaani Ve"")",Arijit Singh,desi pop,170,69,52,4,12,48,227,62,3
22,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",Arijit Singh,desi pop,70,40,43,8,11,31,285,74,4
23,Pal Pal Dil Ke Paas- Title Track,Arijit Singh,desi pop,124,51,56,7,6,39,255,59,3
24,Sakhiyaan,Maninder Buttar,desi pop,83,67,71,6,20,36,179,30,4
25,Proper Patola,Badshah,desi hip hop,172,82,77,6,32,49,179,49,9
26,"Bekhayali (From ""Kabir Singh"")",Sachet Tandon,desi pop,172,59,31,5,32,35,372,45,4
27,"Dheeme Dheeme (From ""Pati Patni Aur Woh"")",Tony Kakkar,desi pop,110,97,80,2,35,69,177,15,4
28,8 Parche,Baani Sandhu,punjabi pop,174,86,65,2,20,73,210,16,21
29,"Jai Jai Shivshankar (From ""War"")",Vishal Dadlani,desi pop,129,90,83,5,7,53,231,26,8
30,Chal Bombay,DIVINE,desi hip hop,95,62,86,7,12,51,174,4,32
31,Ik Tera,Maninder Buttar,desi pop,93,71,83,5,11,49,161,10,7
32,Vaaste,Dhvani Bhanushali,desi pop,90,48,44,6,10,32,196,45,4
33,Kalank (Title Track),Arijit Singh,desi pop,118,55,57,8,9,44,311,52,4
34,"Shaitan Ka Saala (From ""Housefull 4"")",Sohail Sen,desi pop,100,77,84,5,37,34,147,28,19
35,"Naah Goriye (From ""Bala"")",B Praak,desi pop,100,77,82,2,6,72,185,46,6
36,"Ek Toh Kum Zindagani (From ""Marjaavaan"")",Neha Kakkar,desi pop,128,97,67,2,6,72,190,6,9
37,"Don't Be Shy Again (From ""Bala"")",Sachin-Jigar,desi pop,105,91,80,4,31,91,164,10,6
38,"Mere Sohneya (From ""Kabir Singh"")",Sachet Tandon,desi pop,136,64,38,6,22,65,193,56,4
39,"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")",Rochak,desi pop,87,38,72,8,13,48,201,59,6
40,Chandigarh Mein,Badshah,desi hip hop,100,87,81,2,7,34,205,1,6
41,Dance Like,Harrdy Sandhu,desi pop,100,82,86,3,30,54,172,38,10
42,Sauda Khara Khara,Diljit Dosanjh,desi pop,145,92,69,3,11,88,211,9,6
43,"Kaise Hua (From ""Kabir Singh"")",Vishal Mishra,desi pop,138,46,39,7,11,15,235,45,4
44,"Muqabla (From ""Street Dancer 3D"")",Yash Narvekar,desi pop,120,91,80,3,39,54,176,2,9
45,Ve Maahi,Arijit Singh,desi pop,103,55,65,7,22,29,224,41,3
46,"O Saki Saki (From ""Batla House"")",Neha Kakkar,desi pop,108,96,74,0,36,57,191,16,7
47,"Tera Ban Jaunga (From ""Kabir Singh"")",Akhil Sachdeva,desi pop,94,53,61,6,13,40,236,82,2
48,"Mummy Nu Pasand (From ""Jai Mummy Di"")",Sunanda Sharma,desi pop,94,97,78,0,35,80,185,1,11
49,"Hauli Hauli (From ""De De Pyaar De"")",Garry Sandhu,bhangra,95,98,71,3,34,57,209,2,8
50,"Lamborghini (From ""Jai Mummy Di"")",Meet Bros.,desi pop,NA,NA,NA,NA,NA,NA,247,NA,NA
