rank,title,artist,top genre,bpm,nrgy,dnce,dB,live,val,dur,acous,spch
1,Dance Monkey,Tones and I,australian pop,98,59,82,6,15,51,209,69,9
2,Memories,Maroon 5,pop,91,32,76,7,8,57,189,84,5
3,ROXANNE,Arizona Zervas,pop rap,117,60,62,6,46,46,164,5,15
4,Lose You To Love Me,Selena Gomez,dance pop,102,34,51,9,21,9,206,58,4
5,Falling,Trevor Daniel,alternative r&b,127,43,78,9,9,24,159,12,4
6,Someone You Loved,Lewis Capaldi,pop,110,41,50,6,11,45,182,75,3
7,Lucid Dreams,Juice WRLD,chicago rap,84,57,51,7,34,22,240,35,20
8,"10,000 Hours (with Justin Bieber)",Dan + Shay,contemporary country,90,63,65,5,11,43,168,15,3
9,It's You,Ali Gatie,canadian hip hop,96,46,73,7,19,40,213,37,3
10,Se��,Shawn Mendes,canadian pop,117,55,76,6,8,75,191,4,3
11,Mean It,Lauv,pop,96,45,75,9,17,34,233,4,9
12,Boy With Luv (feat. Halsey),BTS,k-pop,120,86,65,5,19,80,230,9,10
13,comethru,Jeremy Zucker,pop,94,18,80,12,62,61,182,61,6
14,Beautiful People (feat. Khalid),Ed Sheeran,pop,93,65,64,8,8,55,198,12,19
15,I Don't Care (with Justin Bieber),Ed Sheeran,pop,102,68,80,5,9,84,220,9,4
16,On My Way,Alan Walker,electro house,170,69,51,5,30,30,194,2,10
17,Can We Kiss Forever?,Kina,pop,110,13,52,19,9,12,188,89,4
18,So Am I,Ava Max,dance pop,130,66,68,5,35,61,183,7,4
19,Takeaway,The Chainsmokers,electropop,100,51,53,8,10,35,210,13,3
20,Location Unknown <U+25D0> - Brooklyn Session,HONNE,uk pop,92,29,51,7,8,40,328,94,4
21,Halu,Feby Putri,NA,116,25,34,15,11,10,266,87,4
22,I Love You 3000,Stephanie Poetri,indonesian pop,90,38,65,8,39,41,210,91,4
23,Way Back Home (feat. Conor Maynard) - Sam Feldt Edit,SHAUN,k-pop,106,75,74,5,22,45,192,27,3
24,Tolong,Budi Doremi,indonesian pop,136,20,44,12,10,24,250,89,4
25,lowkey,NIKI,indie r&b,118,49,75,8,9,23,171,43,6
26,Lebih Dari Egoku,Mawar De Jongh,indonesian pop,80,39,67,8,10,33,249,74,3
27,100 Degrees,Rich Brian,indonesian hip hop,81,65,76,5,52,66,166,12,7
28,Waktu Yang Salah,Fiersa Besari,indonesian indie,130,28,67,11,10,30,326,79,3
29,Celengan Rindu,Fiersa Besari,indonesian indie,117,54,64,8,14,66,224,11,4
30,Tanpa Tergesa,Juicy Luicy,indonesian pop,96,29,70,7,11,45,218,31,3
31,Psycho,Red Velvet,k-pop,140,67,66,2,9,41,211,19,4
32,Selamat (Selamat Tinggal),Virgoun,indonesian pop,80,58,36,9,12,37,314,52,3
33,Adu Rayu,Yovie Widianto,indonesian pop,100,37,56,12,11,22,208,60,5
34,Pilu Membiru,Kunto Aji,indonesian indie,82,27,36,11,12,5,252,89,3
35,One Only,Pamungkas,indonesian indie,145,52,25,6,9,11,255,22,3
36,Kumau Dia,Andmesh,indonesian pop,158,51,47,9,32,60,256,16,3
37,"Pelukku Untuk Pelikmu - OST Imperfect: Karier, Cinta, & Timbangan",Fiersa Besari,indonesian indie,125,83,53,5,20,25,250,13,4
38,April,Fiersa Besari,indonesian indie,80,47,36,8,19,57,264,59,3
39,Dan...,Sheila On 7,indonesian pop,125,54,66,12,11,54,289,16,3
40,I Love You but I'm Letting Go,Pamungkas,indonesian indie,80,32,39,9,11,13,220,97,3
41,Kartonyono Medot Janji,Denny Caknan,NA,130,78,73,6,21,75,262,31,3
42,Percaya Aku,Chintya Gabriella,NA,140,49,54,8,20,30,232,74,3
43,Kenangan Manis,Pamungkas,indonesian indie,140,68,60,7,9,72,208,5,3
44,Bicara (feat. Monita Tahalea),TheOvertunes,indonesian pop,77,37,57,9,8,37,236,56,3
45,Cinta Luar Biasa,Andmesh,indonesian pop,136,23,58,12,10,32,256,81,3
46,Nyaman,Andmesh,indonesian pop,83,31,54,11,15,46,227,82,3
47,Hanya Rindu,Andmesh,indonesian pop,179,16,28,12,11,20,252,89,3
48,Secukupnya,Hindia,indonesian indie,102,80,73,5,35,93,205,19,3
49,Speechless (Full),Naomi Scott,hollywood,125,49,47,8,12,23,209,47,3
50,Tak Ingin Pisah Lagi,Marion Jola,indonesian pop,95,40,66,6,14,34,266,58,3
