rank,title,artist,top genre,bpm,nrgy,dnce,dB,live,val,dur,acous,spch
1,Dance Monkey,Tones and I,australian pop,98,59,82,6,15,51,209,69,9
2,ROXANNE,Arizona Zervas,pop rap,117,60,62,6,46,46,164,5,15
3,Memories,Maroon 5,pop,91,32,76,7,8,57,189,84,5
4,Circles,Post Malone,dfw rap,120,76,70,3,9,55,215,19,4
5,everything i wanted,Billie Eilish,electropop,120,23,70,14,11,24,245,90,10
6,Falling,Trevor Daniel,alternative r&b,127,43,78,9,9,24,159,12,4
7,Don't Start Now,Dua Lipa,dance pop,124,79,79,5,10,68,183,1,8
8,bad guy,Billie Eilish,electropop,135,43,70,11,10,56,194,33,38
9,Someone You Loved,Lewis Capaldi,pop,110,41,50,6,11,45,182,75,3
10,HIGHEST IN THE ROOM,Travis Scott,rap,76,43,60,9,21,6,176,5,3
11,Blinding Lights,The Weeknd,canadian contemporary r&b,171,80,51,4,9,35,202,0,6
12,Lucid Dreams,Juice WRLD,chicago rap,84,57,51,7,34,22,240,35,20
13,Lalala,Y2K,pop rap,130,39,84,8,14,50,161,18,8
14,7 rings,Ariana Grande,dance pop,140,32,78,11,9,33,179,59,33
15,My Oh My (feat. DaBaby),Camila Cabello,dance pop,105,49,72,6,9,38,171,2,3
16,Se��,Shawn Mendes,canadian pop,117,55,76,6,8,75,191,4,3
17,Beautiful People (feat. Khalid),Ed Sheeran,pop,93,65,64,8,8,55,198,12,19
18,I Don't Care (with Justin Bieber),Ed Sheeran,pop,102,68,80,5,9,84,220,9,4
19,Nevermind,Dennis Lloyd,israeli pop,100,69,60,8,41,8,157,16,20
20,Never Go Back,Dennis Lloyd,israeli pop,79,65,42,5,11,73,175,1,40
21,Unfaithful,Dennis Lloyd,israeli pop,76,57,64,5,25,42,141,1,5
22,<U+05DE><U+05E1><U+05E2>,Eliad,israeli pop,115,66,80,7,10,59,207,12,4
23,<U+05E0><U+05D7><U+05DB><U+05D4> <U+05DC><U+05DA>,Nathan Goshen,israeli pop,75,47,54,8,7,46,207,49,3
24,<U+05D0><U+05DC><U+05D5><U+05E3> <U+05D4><U+05E2><U+05D5><U+05DC><U+05DD>,Hanan Ben Ari,israeli pop,128,43,58,8,13,22,216,75,5
25,<U+05DC><U+05E9><U+05D5><U+05D1> <U+05D4><U+05D1><U+05D9><U+05EA><U+05D4>,Ishay Ribo,israeli pop,104,45,73,9,9,63,197,51,3
26,'<U+05E4><U+05D0><U+05D5><U+05E5>,Noa Kirel,israeli pop,140,66,80,7,25,79,167,23,6
27,<U+05D0><U+05D9><U+05DF> <U+05D9><U+05D5><U+05EA><U+05E8> <U+05DE><U+05D5><U+05E2><U+05D3><U+05D5><U+05E0><U+05D9><U+05DD>,Eden Hason,israeli mediterranean,90,61,61,5,7,63,184,10,6
28,<U+05DB><U+05EA><U+05D1><U+05EA><U+05D9> <U+05E2><U+05DC><U+05D9><U+05D9><U+05DA> <U+05E9><U+05D9><U+05E8>,Omer Adam,israeli mediterranean,92,61,82,7,5,65,169,25,11
29,<U+05D4><U+05DC><U+05D1> <U+05E9><U+05DC><U+05D9>,Omer Adam,israeli mediterranean,129,38,41,7,11,32,317,83,3
30,<U+05D0><U+05D2><U+05E8><U+05D5><U+05E3>,Eden Ben Zaken,israeli mediterranean,120,52,54,9,21,27,189,54,6
31,<U+05DE><U+05DE><U+05D4> <U+05D0><U+05EA> <U+05DE><U+05E4><U+05D7><U+05D3><U+05EA>,Eyal Golan,israeli mediterranean,132,38,64,8,11,39,192,64,4
32,<U+05DE><U+05EA><U+05D2><U+05E2><U+05D2><U+05E2><U+05EA>,Nathan Goshen,israeli pop,137,35,63,7,53,19,182,3,4
33,<U+05E0><U+05D9><U+05E6><U+05D7><U+05EA> <U+05D0><U+05D9><U+05EA><U+05D9> <U+05D4><U+05DB><U+05DC> <U+05DC><U+05D9><U+05D9><U+05D1>,Ishay Ribo,israeli pop,98,56,38,6,98,24,302,53,3
34,<U+05DB><U+05E9><U+05E0><U+05D2><U+05DE><U+05E8><U+05EA> <U+05D4><U+05E1><U+05D5><U+05E4><U+05D4>,Eden Hason,israeli mediterranean,136,55,60,6,34,58,216,16,3
35,<U+05DE><U+05D0><U+05D5><U+05E9><U+05E8><U+05D9><U+05DD>,Doli & Penn,israeli pop,128,80,63,5,17,67,232,21,6
36,<U+05D0><U+05D7><U+05EA> <U+05D5><U+05DC><U+05EA><U+05DE><U+05D9><U+05D3>,Ishay Ribo,israeli pop,96,48,60,10,11,44,245,48,3
37,<U+05D3><U+05D9><U+05D1><U+05D5><U+05E8> <U+05E0><U+05D2><U+05D5><U+05E2>,Mergui,israeli hip hop,97,49,90,4,8,73,166,6,17
38,<U+05DB><U+05E4><U+05D9><U+05D5><U+05EA>,Eden Hason,israeli mediterranean,120,50,64,7,12,33,180,51,4
39,<U+05DE><U+05D9><U+05E9><U+05D4><U+05D5> <U+05D0><U+05D9><U+05EA><U+05D9> <U+05DB><U+05D0><U+05DF>,Benaia Barabi,israeli mediterranean,100,63,72,6,12,38,219,73,3
40,<U+05D7><U+05DC><U+05E7> <U+05DE><U+05D4><U+05D6><U+05DE><U+05DF>,Idan Amedi,israeli pop,68,46,57,8,13,64,223,63,3
41,<U+05D4><U+05DC><U+05D1> <U+05E9><U+05DC><U+05D9>,Ishay Ribo,israeli pop,136,42,56,9,7,26,239,64,3
42,<U+05D1><U+05D0><U+05EA><U+05D9> <U+05DC><U+05D7><U+05DC><U+05D5><U+05DD>,Nathan Goshen,israeli pop,171,72,36,7,8,38,199,17,11
43,<U+05E9><U+05DE><U+05E9>,Hanan Ben Ari,israeli pop,124,42,50,9,9,11,238,57,4
44,<U+05D1><U+05DE><U+05E7><U+05D5><U+05DD> <U+05D4><U+05DB><U+05D9> <U+05E8><U+05D7><U+05D5><U+05E7>,Benaia Barabi,israeli mediterranean,112,56,68,7,36,36,201,59,5
45,<U+05E9><U+05DE><U+05D9><U+05E9><U+05D4><U+05D5> <U+05D9><U+05E2><U+05E6><U+05D5><U+05E8> <U+05D0><U+05D5><U+05EA><U+05D9>,Eden Hason,israeli mediterranean,134,57,66,6,11,51,224,51,4
46,"<U+05E2><U+05D1>""<U+05DE>",Tuna,israeli hip hop,67,68,66,8,12,48,323,45,20
47,<U+05DC><U+05E7><U+05D7><U+05EA> <U+05D0><U+05EA> <U+05D4><U+05DE><U+05E4><U+05EA><U+05D7><U+05D5><U+05EA>,Itay Levi,israeli mediterranean,74,44,47,6,10,35,208,66,13
48,<U+05E6><U+05D1><U+05E2><U+05D9><U+05DD>,Gil Vain,israeli mediterranean,140,55,73,8,13,73,208,80,5
49,<U+05E7><U+05D9><U+05E8><U+05D5><U+05EA>,Itay Levi,israeli mediterranean,123,57,78,8,18,50,197,40,7
50,Ve'Eem Tavo'ee Elay (And If You Will Come To Me),Idan Raichel,classic israeli pop,112,88,73,5,10,23,213,50,3
