rank,title,artist,top genre,bpm,nrgy,dnce,dB,live,val,dur,acous,spch
1,Dance Monkey,Tones and I,australian pop,98,59,82,6,15,51,209,69,9
2,Memories,Maroon 5,pop,91,32,76,7,8,57,189,84,5
3,ROXANNE,Arizona Zervas,pop rap,117,60,62,6,46,46,164,5,15
4,All I Want for Christmas Is You,Mariah Carey,dance pop,150,63,34,7,7,35,241,16,4
5,RITMO (Bad Boys For Life),The Black Eyed Peas,dance pop,105,72,72,7,24,67,222,3,7
6,Falling,Trevor Daniel,alternative r&b,127,43,78,9,9,24,159,12,4
7,Santa Tell Me,Ariana Grande,dance pop,192,62,53,7,29,59,204,5,12
8,Rockin' Around The Christmas Tree,Brenda Lee,adult standards,67,47,59,9,51,90,126,61,5
9,Happy Xmas (War Is Over) - Remastered,John Lennon,album rock,147,61,33,11,77,40,214,32,3
10,Jingle Bell Rock,Bobby Helms,adult standards,120,42,75,8,7,81,131,64,4
11,Mistletoe,Justin Bieber,canadian pop,162,56,66,9,8,85,183,50,5
12,It's the Most Wonderful Time of the Year,Andy Williams,adult standards,202,60,24,8,12,78,152,77,4
13,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,adult standards,142,26,65,13,36,84,155,90,6
14,Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,album rock,95,51,77,9,7,77,228,32,3
15,Ayy Macarena,Tyga,pop rap,96,63,82,6,7,72,132,13,23
16,Underneath the Tree,Kelly Clarkson,dance pop,160,81,51,5,21,69,230,0,5
17,"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",Bruce Springsteen,heartland rock,140,67,36,8,73,41,268,36,5
18,Last Christmas,Wham!,new wave pop,108,48,74,12,36,95,263,19,3
19,Feliz Navidad,Josï¿½ï¿½ï¿½ F,latin pop,149,86,49,7,35,96,182,53,4
20,You Make It Feel Like Christmas (feat. Blake Shelton),Gwen Stefani,dance pop,93,87,64,4,12,91,157,2,4
21,It's Beginning to Look a Lot like Christmas,Michael Bublï,adult standards,93,22,33,11,34,36,207,88,3
22,fuck 3x,tha Supreme,trap italiana,180,81,66,5,11,69,161,7,8
23,Holly Jolly Christmas,Michael Bublï,adult standards,151,43,61,9,9,74,122,86,4
24,Happy Xmas (War Is Over),Cï¿½ï¿½ï¿½l,canadian pop,172,60,34,5,28,16,255,45,3
25,SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta),Marracash,italian hip hop,141,66,66,6,13,51,223,7,6
26,blun7 a swishland,tha Supreme,trap italiana,130,79,69,6,26,57,168,13,25
27,Ti volevo dedicare (feat. J-AX & Boomdabash),Rocco Hunt,italian hip hop,120,73,75,6,19,27,208,1,7
28,CRUDELIA - I nervi,Marracash,italian hip hop,82,55,55,8,34,7,231,15,10
29,Soldi in Nero - feat. Sfera Ebbasta,Shiva,italian hip hop,158,66,75,5,17,35,184,15,28
30,Pookie (feat. Capo Plaza) - Remix,Aya Nakamura,basshall,98,62,84,7,10,51,188,6,13
31,sw1n6o - feat. Salmo,tha Supreme,trap italiana,170,83,57,6,79,79,184,12,9
32,m12ano - feat. Mara Sattei,tha Supreme,trap italiana,65,51,58,6,8,48,188,4,4
33,Chiasso,Random,italian hip hop,92,45,72,13,10,46,182,25,19
34,Santa Claus Is Comin' to Town,Frank Sinatra,adult standards,140,20,65,12,31,69,155,83,6
35,Bossoli,Shiva,italian hip hop,145,66,83,8,14,80,179,44,26
36,BRAVI A CADERE - I polmoni,Marracash,italian hip hop,95,69,61,6,10,28,200,16,10
37,Barrio,Mahmood,italian arena pop,122,70,80,7,11,57,165,6,7
38,Gigolï¿½ï¿½ï¿½ (feat. Sfera Ebbasta & Cap,Lazza,italian hip hop,98,63,80,9,9,39,164,9,14
39,occh1 purpl3 - feat. Marracash,tha Supreme,trap italiana,134,81,66,5,16,55,188,9,16
40,Non Avere Paura,Tommaso Paradiso,italian arena pop,105,68,57,6,11,24,247,43,4
41,"CHARLES MANSON (BUON NATALE2) (feat. Lazza) - feat. Dani Faiv, Nitro",Salmo,italian hip hop,120,83,72,5,44,48,258,1,21
42,Tutto Questo Sei Tu,Ultimo,italian pop,162,51,45,6,11,42,245,44,3
43,Una volta ancora (feat. Ana Mena),Fred De Palma,italian arena pop,124,64,77,5,10,59,174,8,6
44,ch1 5ei te,tha Supreme,trap italiana,88,78,49,6,16,32,184,5,7
45,Santa Claus Is Coming to Town,Michael Bublï,adult standards,123,40,59,7,4,42,172,79,5
46,GANG (feat. Geolier),Samurai Jay,italian hip hop,95,46,80,11,21,58,162,4,24
47,Holly & Benji (feat. Capo Plaza & Shiva),AVA,italian hip hop,78,79,42,6,11,50,220,1,27
48,ANSIA NO,FSK SATELLITE,italian hip hop,160,68,82,7,22,71,149,15,56
49,m8nstar,tha Supreme,trap italiana,165,76,58,6,11,44,165,5,4
50,Cin Cin,Alfa,italian arena pop,121,63,70,4,13,37,180,26,3
