,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,country
901,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,31/12/1969,150,63,34,7,7,35,241,16,4,98,japan
902,bad guy,Billie Eilish,electropop,2019,31/12/1969,135,43,70,11,10,56,194,33,38,96,japan
903,Santa Tell Me,Ariana Grande,dance pop,2014,31/12/1969,192,62,53,7,29,59,204,5,12,95,japan
904,Happy Xmas (War Is Over) - Remastered,John Lennon,album rock,2010,31/12/1969,147,61,33,11,77,40,214,32,3,92,japan
905,Underneath the Tree,Kelly Clarkson,dance pop,2013,31/12/1969,160,81,51,5,21,69,230,0,5,88,japan
906,Shape of You,Ed Sheeran,pop,2017,31/12/1969,96,65,83,3,9,93,234,58,8,87,japan
907,Last Christmas,Wham!,new wave pop,1984,31/12/1969,108,48,74,12,36,95,263,19,3,85,japan
908,Gurenge,LiSA,anime rock,2019,31/12/1969,135,98,55,3,8,31,239,0,15,73,japan
909,<U+30CE><U+30FC><U+30C0><U+30A6><U+30C8>,Official HIGE DANdism,anime rock,2018,31/12/1969,150,94,57,3,34,79,202,6,7,72,japan
910,115<U+4E07><U+30AD><U+30ED><U+306E><U+30D5><U+30A3><U+30EB><U+30E0>,Official HIGE DANdism,anime rock,2018,31/12/1969,97,79,51,2,14,48,325,0,3,71,japan
911,<U+30AF><U+30EA><U+30B9><U+30DE><U+30B9><U+30BD><U+30F3><U+30B0>,back number,j-pop,2015,31/12/1969,154,71,40,3,12,42,340,13,3,70,japan
912,<U+9AD8><U+5DBA><U+306E><U+82B1><U+5B50><U+3055><U+3093>,back number,j-pop,2014,31/12/1969,138,92,54,3,12,34,295,7,6,69,japan
913,<U+541B><U+306F><U+30ED><U+30C3><U+30AF><U+3092><U+8074><U+304B><U+306A><U+3044>,Aimyon,j-acoustic,2017,31/12/1969,100,69,52,4,17,62,246,0,3,69,japan
914,<U+305F><U+3060><U+541B><U+306B><U+6674><U+308C>,Yorushika,j-pop,2018,31/12/1969,140,83,68,3,12,96,199,34,3,69,japan
915,HANABI,Mr.Children,j-pop,2008,31/12/1969,112,77,64,6,12,60,343,16,3,68,japan
916,<U+30CF><U+30C3><U+30D4><U+30FC><U+30A8><U+30F3><U+30C9>,back number,j-pop,2016,31/12/1969,78,65,36,3,16,34,314,5,4,68,japan
917,<U+6253><U+4E0A><U+82B1><U+706B>,DAOKO×<U+7C73><U+6D25><U+7384><U+5E2B>,j-pop,2017,31/12/1969,96,67,63,4,11,29,290,29,2,68,japan
918,Turning Up,ARASHI,j-pop,2019,31/12/1969,118,82,77,5,24,90,183,2,10,68,japan
919,<U+30CF><U+30EB><U+30CE><U+30D2>,Aimyon,j-acoustic,2019,31/12/1969,107,67,59,2,11,53,327,26,3,67,japan
920,<U+30EF><U+30BF><U+30EA><U+30C9><U+30EA>,[ALEXANDROS],anime rock,2015,31/12/1969,135,96,51,4,20,61,249,0,8,67,japan
921,<U+70B9><U+63CF><U+306E><U+5504>,Mrs. GREEN APPLE,anime rock,2018,31/12/1969,152,63,50,5,10,31,307,45,3,67,japan
922,Walking with you,Novelbright,j-pop,2018,31/12/1969,93,97,42,1,53,50,223,1,6,67,japan
923,366<U+65E5>,HY,j-pop,2008,31/12/1969,152,43,38,7,21,18,353,68,3,66,japan
924,<U+30C8><U+30EA><U+30B3>,Nissy,j-pop,2019,31/12/1969,90,80,63,3,6,72,232,9,4,66,japan
925,<U+7A7A><U+306E><U+9752><U+3055><U+3092><U+77E5><U+308B><U+4EBA><U+3088>,Aimyon,j-acoustic,2019,31/12/1969,108,71,57,2,31,63,305,18,3,66,japan
926,<U+594F>(<U+304B><U+306A><U+3067>),Sukima Switch,j-pop,2004,31/12/1969,150,67,52,6,9,46,329,55,3,66,japan
927,<U+611B><U+3092><U+4F1D><U+3048><U+305F><U+3044><U+3060><U+3068><U+304B>,Aimyon,j-acoustic,2017,31/12/1969,100,85,67,5,9,79,235,3,3,66,japan
928,<U+30A4><U+30F3><U+30D5><U+30A7><U+30EB><U+30CE>,Mrs. GREEN APPLE,anime rock,2019,31/12/1969,93,92,53,2,64,66,212,1,6,65,japan
929,<U+9752><U+3068><U+590F>,Mrs. GREEN APPLE,anime rock,2019,31/12/1969,185,89,31,2,28,75,270,0,5,65,japan
930,<U+30D2><U+30ED><U+30A4><U+30F3>,back number,j-pop,2015,31/12/1969,76,60,43,4,22,36,270,21,3,65,japan
931,<U+3072><U+307E><U+308F><U+308A><U+306E><U+7D04><U+675F>,Motohiro Hata,j-acoustic,2015,31/12/1969,79,45,52,6,18,34,308,19,3,65,japan
932,<U+30ED><U+30DE><U+30F3><U+30C1><U+30B7><U+30BA><U+30E0>,Mrs. GREEN APPLE,anime rock,2019,31/12/1969,126,88,60,3,5,90,214,0,6,64,japan
933,Wherever you are,ONE OK ROCK,j-pop,2010,31/12/1969,174,69,38,5,34,29,296,3,5,62,japan
934,<U+30DE><U+30EA><U+30FC><U+30B4><U+30FC><U+30EB><U+30C9>,Aimyon,j-acoustic,2018,31/12/1969,106,75,55,3,9,41,307,5,3,59,japan
935,Pretender,Official HIGE DANdism,anime rock,2019,31/12/1969,92,87,54,3,14,37,327,5,3,56,japan
936,Hakujitsu,King Gnu,j-pop,2019,31/12/1969,93,90,61,3,29,75,275,67,11,56,japan
937,<U+4ECA><U+591C><U+3053><U+306E><U+307E><U+307E>,Aimyon,j-acoustic,2018,31/12/1969,105,85,44,4,9,64,238,3,4,56,japan
938,Yesterday,Official HIGE DANdism,anime rock,2019,31/12/1969,130,80,54,4,40,56,299,4,4,55,japan
939,Shukumei,Official HIGE DANdism,anime rock,2019,31/12/1969,164,58,55,6,11,49,281,2,3,53,japan
940,Machigaisagashi,Masaki Suda,anime rock,2019,31/12/1969,156,64,53,6,39,44,224,52,4,53,japan
