rank,title,artist,top genre,bpm,nrgy,dnce,dB,live,val,dur,acous,spch
1,Dance Monkey,Tones and I,australian pop,98,59,82,6,15,51,209,69,9
2,Memories,Maroon 5,pop,91,32,76,7,8,57,189,84,5
3,ROXANNE,Arizona Zervas,pop rap,117,60,62,6,46,46,164,5,15
4,Circles,Post Malone,dfw rap,120,76,70,3,9,55,215,19,4
5,All I Want for Christmas Is You,Mariah Carey,dance pop,150,63,34,7,7,35,241,16,4
6,everything i wanted,Billie Eilish,electropop,120,23,70,14,11,24,245,90,10
7,Falling,Trevor Daniel,alternative r&b,127,43,78,9,9,24,159,12,4
8,Don't Start Now,Dua Lipa,dance pop,124,79,79,5,10,68,183,1,8
9,Lose You To Love Me,Selena Gomez,dance pop,102,34,51,9,21,9,206,58,4
10,Someone You Loved,Lewis Capaldi,pop,110,41,50,6,11,45,182,75,3
11,hot girl bummer,blackbear,pop,130,56,78,7,40,68,185,13,8
12,Blinding Lights,The Weeknd,canadian contemporary r&b,171,80,51,4,9,35,202,0,6
13,bad guy,Billie Eilish,electropop,135,43,70,11,10,56,194,33,38
14,Santa Tell Me,Ariana Grande,dance pop,192,62,53,7,29,59,204,5,12
15,Lucid Dreams,Juice WRLD,chicago rap,84,57,51,7,34,22,240,35,20
16,How Do You Sleep?,Sam Smith,pop,111,68,48,5,8,35,202,15,9
17,"10,000 Hours (with Justin Bieber)",Dan + Shay,contemporary country,90,63,65,5,11,43,168,15,3
18,Rockin' Around The Christmas Tree,Brenda Lee,adult standards,67,47,59,9,51,90,126,61,5
19,Trampoline (with ZAYN),SHAED,electropop,127,46,62,6,14,50,184,56,3
20,Mistletoe,Justin Bieber,canadian pop,162,56,66,9,8,85,183,50,5
21,Goodbyes (feat. Young Thug),Post Malone,dfw rap,150,65,55,4,10,16,175,46,8
22,Jingle Bell Rock,Bobby Helms,adult standards,120,42,75,8,7,81,131,64,4
23,It's the Most Wonderful Time of the Year,Andy Williams,adult standards,202,60,24,8,12,78,152,77,4
24,My Oh My (feat. DaBaby),Camila Cabello,dance pop,105,49,72,6,9,38,171,2,3
25,It's You,Ali Gatie,canadian hip hop,96,46,73,7,19,40,213,37,3
26,No Idea,Don Toliver,rap,128,61,66,5,22,35,154,56,10
27,Seï¿½ï¿½,Shawn Mendes,canadian pop,117,55,76,6,8,75,191,4,3
28,Mean It,Lauv,pop,96,45,75,9,17,34,233,4,9
29,Into the Unknown,Idina Menzel,hollywood,145,41,32,9,14,27,195,85,4
30,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,dfw rap,90,52,76,4,7,93,158,53,6
31,Falling,Harry Styles,dance pop,110,27,57,7,9,6,240,84,3
32,Lover (Remix) [feat. Shawn Mendes],Taylor Swift,pop,205,60,45,7,9,42,221,43,6
33,I.F.L.Y.,Bazzi,pop,105,52,81,5,13,55,166,38,4
34,Adore You,Harry Styles,dance pop,99,77,68,4,10,57,207,2,5
35,Boy With Luv (feat. Halsey),BTS,k-pop,120,86,65,5,19,80,230,9,10
36,Watermelon Sugar,Harry Styles,dance pop,95,82,55,4,34,56,174,12,5
37,Beautiful People (feat. Khalid),Ed Sheeran,pop,93,65,64,8,8,55,198,12,19
38,comethru,Jeremy Zucker,pop,94,18,80,12,62,61,182,61,6
39,Last Christmas,Wham!,new wave pop,108,48,74,12,36,95,263,19,3
40,It's Beginning to Look a Lot like Christmas,Michael Bublï,adult standards,93,22,33,11,34,36,207,88,3
41,Takeaway,The Chainsmokers,electropop,100,51,53,8,10,35,210,13,3
42,Holly Jolly Christmas,Michael Bublï,adult standards,151,43,61,9,9,74,122,86,4
43,Before You Go,Lewis Capaldi,pop,112,57,46,5,9,18,215,60,6
44,I Love You 3000,Stephanie Poetri,indonesian pop,90,38,65,8,39,41,210,91,4
45,Psycho,Red Velvet,k-pop,140,67,66,2,9,41,211,19,4
46,Feelings,Lauv,pop,103,47,69,7,10,25,190,9,4
47,Mimpi (feat. Alif),K-Clique,malaysian indie,150,73,83,7,10,87,253,53,29
48,Cinta Luar Biasa,Andmesh,indonesian pop,136,23,58,12,10,32,256,81,3
49,Haa Tepok,MeerFly,malaysian hip hop,87,50,85,12,15,68,211,66,31
50,Hanya Rindu,Andmesh,indonesian pop,179,16,28,12,11,20,252,89,3
