rank,title,artist,top genre,bpm,nrgy,dnce,dB,live,val,dur,acous,spch
1,Dance Monkey,Tones and I,australian pop,98,59,82,6,15,51,209,69,9
2,ROXANNE,Arizona Zervas,pop rap,117,60,62,6,46,46,164,5,15
3,All I Want for Christmas Is You,Mariah Carey,dance pop,150,63,34,7,7,35,241,16,4
4,RITMO (Bad Boys For Life),The Black Eyed Peas,dance pop,105,72,72,7,24,67,222,3,7
5,Tusa,KAROL G,latin,101,72,80,3,6,57,201,30,30
6,Santa Tell Me,Ariana Grande,dance pop,192,62,53,7,29,59,204,5,12
7,Vete,Bad Bunny,latin,92,67,89,4,10,53,192,4,19
8,China,Anuel AA,latin,105,81,79,4,8,61,302,8,9
9,Fantasias,Rauw Alejandro,latin,94,70,88,4,6,79,200,14,7
10,Adicto (with Anuel AA & Ozuna),Tainy,pop reggaeton,80,84,73,5,18,62,271,2,7
11,Callaita,Bad Bunny,latin,176,62,61,5,24,24,251,60,31
12,Whine Up,Nicky Jam,latin,105,67,82,6,10,66,215,5,8
13,Indeciso,Reik,latin,95,75,74,5,11,90,217,18,5
14,Aventura,Lunay,latin,92,73,73,3,10,88,217,22,4
15,"Yo x Ti, Tu x Mi",ROSALï¿,r&b en espanol,92,76,78,3,14,58,201,46,23
16,Si Te Vas,Sech,panamanian pop,174,64,73,4,14,55,205,9,13
17,Quizas,Rich Music LTD,reggaeton,176,82,73,2,23,68,216,3,15
18,Hola - Remix,Dalex,latin,182,67,65,6,8,34,250,47,31
19,"DJ No Pare (feat. Zion, Dalex, Lenny Tavï¿½ï¿½ï¿½rez)",Justin Quiles,latin,170,71,74,4,8,83,259,5,9
20,Otro Trago - Remix,Sech,panamanian pop,176,79,73,2,6,76,288,7,20
21,No Me Conoce - Remix,Jhay Cortez,latin,92,79,81,4,9,58,309,14,7
22,Con Altura,ROSALï¿,r&b en espanol,98,69,88,4,5,75,162,39,12
23,Blanco,J Balvin,latin,100,71,87,5,9,59,146,3,13
24,Bellaquita - Remix,Dalex,latin,166,72,80,4,18,76,305,14,8
25,Last Christmas,Wham!,new wave pop,108,48,74,12,36,95,263,19,3
26,Te Quemaste,Manuel Turizo,colombian pop,176,77,73,2,29,72,199,61,13
27,Que Calor (feat. J Balvin & El Alfa),Major Lazer,dance pop,126,89,80,4,29,46,170,4,7
28,Feliz Navidad,Josï¿½ï¿½ï¿½ F,latin pop,149,86,49,7,35,96,182,53,4
29,Alocao (With Bad Gyal),Omar Montes,trap espanol,178,75,67,5,11,70,209,21,6
30,Fantasï¿,Ozuna,latin,180,72,70,6,9,78,175,23,9
31,It's Beginning to Look a Lot like Christmas,Michael Bublï,adult standards,93,22,33,11,34,36,207,88,3
32,Sigues Con El,Dimelo Flow,latin,88,67,88,3,7,68,227,11,11
33,B11 (feat. Myke Towers),Rvssian,latin,100,72,76,5,13,20,252,7,12
34,Perreo en La Luna,Rich Music LTD,reggaeton,174,76,71,4,37,72,219,27,29
35,105 F Remix,KEVVO,perreo,100,75,90,7,29,74,464,37,16
36,Easy - Remix,Jhay Cortez,latin,94,75,89,4,15,44,220,19,9
37,Hasta Que Salga el Sol,Ozuna,latin,96,82,83,5,13,60,188,2,7
38,Contando Lunares (feat. Cruz Cafunï¿,Don Patricio,trap espanol,106,52,86,10,5,71,220,44,13
39,Rueda,Chimbala,dembow,130,92,89,2,5,96,211,17,9
40,La Rubia - Remix 2,La Nueva Escuela,dembow,110,72,76,4,38,75,211,32,13
41,A Dï¿½ï¿½ï¿½n,Morat,colombian pop,149,61,63,13,23,96,203,1,4
42,+,Aitana,latin pop,160,67,56,4,12,68,219,11,3
43,Zorra,Bad Gyal,rap catalan,176,65,64,7,8,74,186,68,19
44,Prendï¿,Rvfv,trap espanol,125,54,83,10,13,90,190,17,9
45,Se iluminaba,Fred De Palma,italian arena pop,124,69,79,5,7,62,174,8,6
46,La Cama,Lunay,latin,174,90,70,3,18,82,189,20,6
47,Si por mi fuera,Beret,spanish hip hop,150,75,70,6,10,88,209,3,3
48,Fuera De Mi Mente,Lï¿½ï¿,spanish pop,94,94,74,2,5,70,181,17,10
49,Goteo,Duki,argentine hip hop,108,78,47,4,19,44,164,19,4
50,Prendio - Remix,Rvfv,trap espanol,125,76,75,6,8,75,191,19,6
