,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,country
601,ROXANNE,Arizona Zervas,pop rap,2019,31/12/1969,117,60,62,6,46,46,164,5,15,99,usa
602,Circles,Post Malone,dfw rap,2019,31/12/1969,120,76,70,3,9,55,215,19,4,99,usa
603,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,31/12/1969,150,63,34,7,7,35,241,16,4,98,usa
604,Falling,Trevor Daniel,alternative r&b,2018,31/12/1969,127,43,78,9,9,24,159,12,4,97,usa
605,Santa Tell Me,Ariana Grande,dance pop,2014,31/12/1969,192,62,53,7,29,59,204,5,12,95,usa
606,Bandit (with YoungBoy Never Broke Again),Juice WRLD,chicago rap,2019,31/12/1969,180,63,47,6,13,43,189,7,34,94,usa
607,Rockin' Around The Christmas Tree,Brenda Lee,adult standards,1964,31/12/1969,67,47,59,9,51,90,126,61,5,93,usa
608,Jingle Bell Rock,Bobby Helms,adult standards,1992,31/12/1969,120,42,75,8,7,81,131,64,4,92,usa
609,It's the Most Wonderful Time of the Year,Andy Williams,adult standards,1963,31/12/1969,202,60,24,8,12,78,152,77,4,92,usa
610,Happy Xmas (War Is Over) - Remastered,John Lennon,album rock,2010,31/12/1969,147,61,33,11,77,40,214,32,3,92,usa
611,Mistletoe,Justin Bieber,canadian pop,2011,31/12/1969,162,56,66,9,8,85,183,50,5,92,usa
612,BOP,DaBaby,nc hip hop,2019,31/12/1969,127,79,77,4,13,84,160,19,37,92,usa
613,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,adult standards,1994,31/12/1969,142,26,65,13,36,84,155,90,6,91,usa
614,Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,album rock,1980,31/12/1969,95,51,77,9,7,77,228,32,3,91,usa
615,Futsal Shuffle 2020,Lil Uzi Vert,melodic rap,2019,31/12/1969,137,46,88,8,23,30,199,3,16,90,usa
616,The Christmas Song (Merry Christmas To You),Nat King Cole,adult standards,1962,31/12/1969,79,21,32,15,14,21,192,92,3,89,usa
617,White Christmas,Bing Crosby,adult standards,1942,31/12/1969,131,16,32,16,34,25,177,67,4,89,usa
618,The Box,Roddy Ricch,melodic rap,2019,31/12/1969,117,59,90,7,79,64,197,10,6,89,usa
619,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,adult standards,1959,31/12/1969,134,24,45,14,18,70,117,91,4,89,usa
620,Have Yourself A Merry Little Christmas,Sam Smith,pop,2014,31/12/1969,75,18,44,9,32,34,171,96,4,89,usa
621,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,adult standards,1999,31/12/1969,113,28,73,12,12,72,156,76,6,88,usa
622,Underneath the Tree,Kelly Clarkson,dance pop,2013,31/12/1969,160,81,51,5,21,69,230,0,5,88,usa
623,Christmas (Baby Please Come Home),Mariah Carey,dance pop,1994,31/12/1969,127,78,57,7,11,70,153,2,3,88,usa
